problem,optimizer,iterations,final_x,final_f,value_error,final_grad_norm,runtime_sec
Q1 quadratic,SGD,80,"(-1, 1.5)",-1.25,2.029487689e-13,5.570430227e-07,0.000949
Q1 quadratic,Momentum,80,"(-1.01418, 1.52102)",-1.249752157,0.0002478430294,0.02006716722,0.000506
Q1 quadratic,RMSprop,80,"(-0.970375, 1.52959)",-1.245615861,0.004384139071,0.2135338054,0.000618
Q1 quadratic,Adam,80,"(-0.989693, 1.48479)",-1.249869731,0.0001302692951,0.01459415292,0.000722
Q6 quadratic,SGD,80,"(2, 1)",-8,0,1.33226763e-15,0.000470
Q6 quadratic,Momentum,80,"(2.02902, 1.0165)",-7.998068955,0.001931045338,0.1441905132,0.000473
Q6 quadratic,RMSprop,80,"(2, 1)",-8,0,0,0.000606
Q6 quadratic,Adam,80,"(2.01682, 0.998925)",-7.999712581,0.0002874191628,0.03471557583,0.000738
Q7 quadratic,SGD,80,"(8, 6)",8,1.421085472e-14,1.001183901e-09,0.000453
Q7 quadratic,Momentum,80,"(8.08437, 6.10648)",8.009472943,0.009472942836,0.142876365,0.000510
Q7 quadratic,RMSprop,80,"(6.32616, 5.08797)",10.10694452,2.106944523,2.440277055,0.000660
Q7 quadratic,Adam,80,"(8.1368, 6.08808)",8.014422045,0.01442204546,0.1896424576,0.000903
